Campaign Name,Subject,Sent Date,Emails Sent,Open Rate,Unique Opens,Click Rate,CTOR,Unique clicks,Bounce Rate,Bounces,Unsubscribe Rate,Unsubscribes
Back-to-School (2) Send 4 - Wednesday,Don't Forget to Claim your FREE Pack!,8/27/2025 19:35,43587,49.5,21575,3.88,7.83,1690,0.03,12,0.1,44
Back-to-School (2) Send 3 - Saturday,Start the School Year Fresh with FREE Energy-Saving Products!,8/23/2025 14:18,43687,46.48,20304,1.97,4.24,861,0.03,13,0.22,98
Back-to-School (1) Send 3 - Saturday,Start the School Year Fresh with FREE Energy-Saving Products!,8/23/2025 14:18,43782,47.03,20592,2.03,4.31,888,0.03,11,0.2,89
Back-to-School (1) Send 2,Start the School Year Fresh with FREE Energy-Saving Products!,8/21/2025 13:14,43877,47.31,20758,2.14,4.52,938,0.03,12,0.2,88
Back-to-School (2) Send 2,Start the School Year Fresh with FREE Energy-Saving Products!,8/21/2025 13:06,43774,46.7,20443,2.21,4.73,966,0.03,12,0.17,74
Summer Showerheads Send 2,Soak Up the Savings â€“ Showerheads from $1!,8/20/2025 15:30,117315,47.2,55369,1.96,4.15,2296,0.02,25,0.21,252
Back-to-School (2),Start the School Year Fresh â€“ Get FREE Energy-Saving Products!,8/16/2025 13:09,43910,48.88,21462,2.88,5.88,1263,0.03,14,0.2,87
Back-to-School (1),Start the School Year Fresh â€“ Get FREE Energy-Saving Products!,8/16/2025 13:08,44017,49.41,21747,2.98,6.02,1310,0.03,11,0.19,85
Summer Showerheads,"Upgrade your water use, not your bills â€” see how FOCUS ON ENERGYÂ® delivers",8/14/2025 21:25,59920,21.33,12782,1.13,5.28,675,0.1,62,0.13,77
Summer Showerheads,"Upgrade your water use, not your bills â€” see how FOCUS ON ENERGYÂ® delivers",8/12/2025 15:20,117896,51.7,60948,2.74,5.31,3235,0.11,131,0.16,191
August (Shower) Packs  - Saturday Send,Donâ€™t forget to claim your FREE energy-savings pack!,8/9/2025 15:34,90868,49.57,45041,4.39,8.85,3987,0.03,31,0.15,134
August (Shower) Packs  - Send 1,Donâ€™t forget to claim your FREE energy-savings pack!,8/6/2025 21:49,91020,49.42,44981,4.1,8.3,3733,0.04,32,0.15,133
Allergy Season Air Purifier (B),Decongest for less with a Honeywell True HEPA Tabletop Air Purifier,7/31/2025 21:17,11239,22.38,2515,1.58,7.08,178,0.03,3,0.37,42
Allergy Season Air Purifier (A),Enjoy the summer air while it lasts with a Honeywell True HEPA Tabletop Air Purifier!,7/31/2025 21:16,11456,22.23,2547,1.36,6.12,156,0.02,2,0.24,27
July (Shower) Packs  - Send 5,Donâ€™t forget to claim your FREE energy-savings pack!,7/30/2025 21:47,128958,52.59,67823,6.26,11.91,8076,0.01,12,0.2,260
Allergy Season Air Purifier (B),Decongest for less with a Honeywell True HEPA Tabletop Air Purifier,7/29/2025 16:09,23396,54.26,12694,3.44,6.34,805,0.04,9,0.22,51
Allergy Season Air Purifier (A),Enjoy the summer air while it lasts with a Honeywell True HEPA Tabletop Air Purifier!,7/29/2025 16:09,23764,54.31,12906,3.07,5.66,730,0.02,4,0.13,32
July (Shower) Packs  - Send 4,Donâ€™t forget to claim your FREE energy-savings pack!,7/28/2025 19:55,63782,25.24,16097,4.6,18.24,2936,0.02,14,0.14,87
July (Shower) Packs  - Send 4,Donâ€™t forget to claim your FREE energy-savings pack!,7/26/2025 15:11,130957,54.35,71174,7.71,14.19,10099,0.02,24,0.13,176
