Campaign Name,Subject,Sent Date,Emails Sent,Open Rate,Unique Opens,Click Rate,CTOR,Unique clicks,Bounce Rate,Bounces,Unsubscribe Rate,Unsubscribes
2026 BYOP Launch May 27,Customize Your FREE Energy Savings in Minutes!,5/27/2026 14:12,32274,43.36,13993,3.76,8.67,1213,0.01,4,0.08,26
2026 New Packs May 27,Claim Your FREE Energy-Savings Pack Today!,5/27/2026 14:09,56662,38.86,22020,2.52,6.48,1427,0.02,14,0.09,51
2026 Memorial Day Water Savers - Bilingual May 26,Beat the Heat Without Wasting Water,5/26/2026 14:42,96907,44.79,43407,1.06,2.37,1028,0.02,22,0.08,82
2026 BYOP Launch May 23,Customize Your FREE Energy Savings in Minutes!,5/23/2026 13:57,32317,48.47,15664,4.76,9.83,1539,0.02,7,0.05,17
2026 Memorial Day Water Savers - Bilingual,Beat the Heat Without Wasting Water,5/21/2026 14:19,54597,17.77,9702,0.62,3.47,337,0.06,31,0.09,47
2026 New Packs May 20,Claim Your FREE Energy-Savings Pack Today!,5/20/2026 14:47,56810,44.47,25266,2.56,5.75,1454,0.04,23,0.09,49
2026 Memorial Day Water Savers - Bilingual,Beat the Heat Without Wasting Water,5/19/2026 15:10,97170,45.98,44675,1.39,3.03,1353,0.06,62,0.08,78
2026 BYOP Launch May 12,Customize Your FREE Energy Savings in Minutes!,5/12/2026 14:22,32396,50.49,16357,6.3,12.48,2041,0.03,9,0.11,35
2026 New Packs May 12,Claim Your FREE Energy-Savings Pack Today!,5/12/2026 14:17,56931,44.78,25494,3.2,7.14,1819,0.04,24,0.12,68
2026 New Packs May 6,Claim Your FREE Energy-Savings Pack Today!,5/6/2026 14:18,57038,45.1,25725,3.23,7.15,1840,0.02,10,0.15,84
2026 BYOP Launch May 6,Customize Your FREE Energy Savings in Minutes!,5/6/2026 14:14,32431,51.34,16649,7.31,14.25,2372,0.02,7,0.09,28
2026 New Packs April 30,Claim Your FREE Energy-Savings Pack Today!,4/30/2026 14:33,59925,44.51,26675,3.29,7.4,1974,0.02,12,0.13,79
2026 BYOP Launch,Customize Your Energy Savings in Minutes!,4/30/2026 14:28,33422,47.12,15748,4.81,10.2,1606,0.03,9,0.07,25
2026 Earth Month (Bilingual) Send 5,Celebrate Earth Day with smart thermostats as low as $9.99!,4/23/2026 13:52,64793,18.68,12105,0.61,3.29,398,0.04,25,0.11,70
2026 Earth Month (Bilingual) Send 5,Celebrate Earth Day with smart thermostats as low as $9.99!,4/22/2026 14:34,105243,42.72,44960,1.01,2.37,1067,0.02,23,0.08,89
2026 New Packs April 21,Your FREE Energy-Savings Pack Is Waiting,4/21/2026 15:08,96296,47.93,46153,4.38,9.13,4215,0.02,22,0.1,93
2026 Earth Month (Bilingual) Send 3,Celebrate Earth Month with smart thermostats as low as $9.99!,4/16/2026 15:20,105490,43.57,45958,1.14,2.62,1202,0.02,26,0.13,138
2026 New Packs April 15,New Energy Efficiency Packs Now Available,4/15/2026 14:49,96523,48.08,46411,3.76,7.82,3627,0.02,20,0.09,90
2026 Earth Month (Bilingual) Send 2,Celebrate Earth Month with Smarter Heating & Cooling,4/14/2026 14:34,105668,43.87,46359,1.2,2.74,1271,0.04,44,0.09,94
2026 Earth Month (Bilingual) ,Celebrate Earth Month with Smarter Heating & Cooling,4/11/2026 13:34,105813,45.82,48481,1.78,3.88,1880,0.05,49,0.12,122
